#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 09 19 50 170  5.1  6.4  1.85 11.43  8.54 264 1022.7   9.5   9.0 999.0 99.0 99.00
2008 03 09 20 50 177  5.3  6.4  1.87 11.43  8.42 261 1022.1   9.6   9.1 999.0 99.0 99.00
2008 03 09 21 50 180  4.9  5.8  1.76 10.81  8.19 270 1021.5   9.9   9.1 999.0 99.0 99.00
2008 03 09 22 50 175  4.2  5.3  2.11 11.43  8.29 267 1021.2   9.8   9.1 999.0 99.0 99.00
2008 03 09 23 50 179  4.1  4.7  2.34 10.81  8.49 267 1021.0   9.6   9.1 999.0 99.0 99.00
2008 03 10 00 50 159  3.5  4.2  2.12 11.43  8.21 265 1020.7   9.6   9.1 999.0 99.0 99.00
2008 03 10 01 50 147  3.3  4.0  2.00 11.43  8.13 267 1020.6   9.5   9.1 999.0 99.0 99.00
2008 03 10 02 50 137  4.9  5.9  2.18 11.43  8.20 267 1020.4   9.4   9.1 999.0 99.0 99.00
2008 03 10 03 50 153  4.9  5.9  2.27 10.00  8.06 262 1020.3   9.7   9.1 999.0 99.0 99.00
2008 03 10 04 50 153  5.5  6.3  2.02 10.81  7.57 265 1019.9  10.0   9.0 999.0 99.0 99.00
2008 03 10 05 50 157  6.6  7.6  2.27 10.81  7.64 259 1019.8  10.6   9.0 999.0 99.0 99.00
2008 03 10 06 50 177  6.9  7.9  2.08 10.00  7.26 254 1019.7  10.4   9.0 999.0 99.0 99.00
2008 03 10 07 50 180  6.4  7.5  1.91 12.12  6.78 272 1019.7  10.2   9.1 999.0 99.0 99.00
2008 03 10 08 50 177  6.0  7.0  1.93 11.43  6.87 266 1019.5  10.4   9.1 999.0 99.0 99.00
2008 03 10 09 50 177  8.0 10.1  2.06 10.00  6.84 255 1019.2  10.6   9.1 999.0 99.0 99.00
2008 03 10 10 50 176  6.9  8.0  1.81 11.43  6.35 259 1018.6  10.1   9.1 999.0 99.0 99.00
2008 03 10 11 50 174  7.6  8.8  1.96 10.81  6.54 260 1018.0  10.2   9.0 999.0 99.0 99.00
2008 03 10 12 50 176  9.0 10.9  1.94 12.12  6.31 259 1018.1  10.2   9.0 999.0 99.0 99.00
2008 03 10 13 50 169  8.4 10.1  2.00 11.43  6.44 266 1018.4  10.1   9.0 999.0 99.0 99.00
2008 03 10 14 50 176  9.2 10.5  1.92 11.43  6.23 261 1018.5  10.2   9.0 999.0 99.0 99.00
2008 03 10 15 50 182 10.3 12.5  1.94 12.12  6.17 269 1018.6  10.2   8.9 999.0 99.0 99.00
2008 03 10 16 50 176 11.3 13.6  2.31 11.43  5.90 259 1018.5  10.0   8.9 999.0 99.0 99.00
2008 03 10 17 50 180 11.8 14.4  2.44 11.43  5.78 265 1018.7  10.1   9.0 999.0 99.0 99.00
2008 03 10 18 50 187 11.4 13.6  2.56 12.12  5.87 262 1019.1  10.0   9.0 999.0 99.0 99.00
2008 03 10 19 50 181 10.2 12.2  2.69  6.67  6.06 224 1019.1   9.9   9.0 999.0 99.0 99.00
2008 03 10 20 50 181 11.0 13.6  2.67  7.14  5.93 230 1018.8  10.1   9.0 999.0 99.0 99.00
2008 03 10 21 50 191 12.1 15.1  2.82  7.14  5.95 238 1018.9   9.8   9.0 999.0 99.0 99.00
2008 03 10 22 50 194 12.9 15.6  2.92  7.14  6.19 220 1019.1   9.9   9.0 999.0 99.0 99.00
2008 03 10 23 50 201 10.9 13.1  3.26  8.33  6.28 229 1019.8   9.8   9.0 999.0 99.0 99.00
2008 03 11 00 50 201  9.8 11.3  3.20  7.69  6.51 219 1020.2   9.9   9.0 999.0 99.0 99.00
2008 03 11 01 50 196  8.5 10.3  3.14  8.33  6.58 220 1020.8  10.0   9.0 999.0 99.0 99.00
2008 03 11 02 50 184  9.0 10.8  2.93  8.33  6.55 225 1021.6   9.8   9.0 999.0 99.0 99.00
2008 03 11 03 50 190  8.4 10.2  2.67  8.33  6.38 231 1022.4   9.8   9.0 999.0 99.0 99.00
2008 03 11 04 50 188  8.7 10.1  2.78  8.33  6.41 225 1023.0   9.8   9.0 999.0 99.0 99.00
2008 03 11 05 50 197  8.2  9.6  2.81  7.69  6.64 221 1024.0   9.6   9.0 999.0 99.0 99.00
2008 03 11 06 50 198  9.1 11.2  2.90 10.00  6.91 262 1024.7   9.7   9.0 999.0 99.0 99.00
