YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 04 12 305  8.8 11.1  2.93 11.11  6.93 269 1016.1  10.6  12.1 999.0 99.0
96 01 04 13 297  5.2  7.1  2.89 11.11  7.31 261 1016.4  10.5  12.1 999.0 99.0
96 01 04 14 315  3.6  6.3  3.32 11.11  7.72 268 1016.6   9.5  12.1 999.0 99.0
96 01 04 15 316  5.3  7.0  3.01 11.11  7.40 258 1017.1   9.7  12.1 999.0 99.0
96 01 04 16 297  4.3  5.8  3.23 11.11  7.54 269 1017.2   9.8  12.1 999.0 99.0
96 01 04 17 291  4.9  6.4  3.13 11.11  7.78 256 1017.3  10.2  12.1 999.0 99.0
96 01 04 18 289  5.0  6.3  2.98 10.00  7.30 275 1017.9  10.3  12.1 999.0 99.0
96 01 04 19 249  4.6  6.8  2.99 10.00  7.72 282 1018.1  10.3  12.1 999.0 99.0
96 01 04 20 271  6.1  7.6  3.20 11.11  7.89 274 1017.9  10.8  12.1 999.0 99.0
96 01 04 21 271  4.8  6.4  3.01 10.00  7.72 289 1017.6  10.5  12.1 999.0 99.0
96 01 04 22 268  5.7  7.4  2.92  9.09  7.70 331 1017.6  10.9  12.1 999.0 99.0
96 01 04 23 281  4.6  6.5  3.13 10.00  8.22 293 1017.9  10.5  12.1 999.0 99.0
96 01 05 00 259  4.7  6.7  3.33 16.67  8.48 298 1018.0  10.3  12.1 999.0 99.0
96 01 05 01 268  4.5  6.5  3.37 16.67  8.69 275 1018.0  10.2  12.1 999.0 99.0
96 01 05 02 270  4.9  7.6  3.11 16.67  8.40 274 1018.0  10.6  12.1 999.0 99.0
96 01 05 03 242  3.6  5.4  3.34 16.67  8.70 289 1018.0  10.6  12.1 999.0 99.0
96 01 05 04 224  2.7  4.5  3.46 16.67  8.82 295 1018.2  10.2  12.1 999.0 99.0
96 01 05 05 206  3.4  4.3  3.21 16.67  8.83 285 1018.2  10.6  12.1 999.0 99.0
96 01 05 06 185  4.9  6.5  3.19 16.67  8.98 288 1018.1  10.4  12.1 999.0 99.0
96 01 05 07 294  4.0  5.3  3.10 16.67  8.88 310 1018.3   9.8  12.1 999.0 99.0
96 01 05 08 178  3.2  5.0  3.00 14.29  8.75 289 1018.5  10.1  12.1 999.0 99.0
96 01 05 09 196  3.4  4.3  3.16 16.67  9.19 290 1018.1  10.6  12.1 999.0 99.0
96 01 05 10 194  4.2  5.7  2.90 14.29  8.85 297 1018.2  10.9  11.8 999.0 99.0
96 01 05 11 201  5.2  6.3  2.73 14.29  8.43 296 1018.3  11.0  11.7 999.0 99.0
96 01 05 12 192  5.2  6.3  2.60 14.29  8.45 307 1018.1  11.0  11.4 999.0 99.0
96 01 05 13 185  7.4  9.3  2.81 16.67  8.17 291 1018.1  10.5  11.7 999.0 99.0
96 01 05 14 175  6.0  7.4  2.83 14.29  7.97 300 1018.2  10.2  11.4 999.0 99.0
96 01 05 15 168  8.3  9.6  2.71 14.29  8.12 295 1018.0  10.8  11.4 999.0 99.0
96 01 05 16 153  9.4 12.4  2.84 14.29  8.20 301 1017.7  10.3  11.4 999.0 99.0
96 01 05 17 142  9.7 11.7  2.81 14.29  7.33 292 1017.8   9.9  11.4 999.0 99.0
96 01 05 18 143 10.8 13.4  2.53 14.29  6.54 290 1017.5  10.6  11.4 999.0 99.0
96 01 05 19 146 10.8 14.1  2.35 16.67  6.12 294 1017.5  10.8  11.6 999.0 99.0
96 01 05 20 154 11.0 13.6  2.43 14.29  6.19 287 1016.6  10.5  11.7 999.0 99.0
96 01 05 21 150 11.8 14.0  2.38  5.56  5.82 184 1015.5  10.5  11.7 999.0 99.0
96 01 05 22 145 10.2 12.4  2.45 14.29  5.99 287 1015.6  10.2  11.7 999.0 99.0
96 01 05 23 149 10.9 13.4  2.67  7.14  6.36 195 1015.0  10.5  11.7 999.0 99.0
96 01 06 00 165 12.5 15.2  3.05  7.69  6.12 207 1014.5  11.3  11.7 999.0 99.0
96 01 06 01 174 13.3 16.5  3.39  8.33  6.66 211 1014.4  11.8  11.7 999.0 99.0
96 01 06 02 174 13.6 16.5  3.62  8.33  6.58 207 1014.2  12.1  11.7 999.0 99.0
96 01 06 03 177 11.8 15.3  3.91  8.33  6.67 207 1015.4  12.1  11.7 999.0 99.0
96 01 06 04 180 12.8 15.4  4.07  8.33  6.92 200 1015.3  12.3  11.8 999.0 99.0
96 01 06 05 176 12.3 14.9  3.85  8.33  6.67 209 1015.4  12.5  11.8 999.0 99.0
96 01 06 06 175 12.8 15.9  3.56  9.09  6.55 190 1015.5  13.3  11.8 999.0 99.0
96 01 06 07 170 11.8 14.2  3.73  8.33  6.76 197 1015.8  12.9  11.8 999.0 99.0
96 01 06 08 168 12.0 14.5  3.42  8.33  6.62 199 1015.6  12.8  11.8 999.0 99.0
96 01 06 09 166 11.1 13.8  3.29  8.33  6.33 190 1015.7  12.8  11.8 999.0 99.0
96 01 06 10 172 11.1 14.2  3.19  8.33  6.44 191 1016.1  12.9  11.8 999.0 99.0
96 01 06 11 169 12.1 15.2  3.13  8.33  6.25 202 1015.8  12.9  11.8 999.0 99.0
96 01 06 12 172 12.9 15.9  3.32  8.33  6.47 197 1016.0  12.9  11.8 999.0 99.0
96 01 06 13 169 12.6 15.3  3.22  8.33  6.28 193 1016.2  12.8  11.8 999.0 99.0
96 01 06 14 168 12.7 16.0  3.41  8.33  6.45 198 1016.2  12.8  11.8 999.0 99.0
96 01 06 15 166 12.8 16.4  3.41  8.33  6.47 202 1016.5  12.9  11.8 999.0 99.0
96 01 06 16 163 13.6 16.9  3.51  9.09  6.51 201 1015.6  13.3  11.8 999.0 99.0
96 01 06 17 169 14.3 17.4  3.83  8.33  6.73 201 1015.8  13.6  11.8 999.0 99.0
96 01 06 18 176 14.1 17.7  3.67  9.09  6.62 205 1016.5  13.7  11.8 999.0 99.0
96 01 06 19 173 13.7 18.1  4.34  9.09  6.85 209 1016.5  13.7  11.8 999.0 99.0
96 01 06 20 170 14.2 17.6  4.25  9.09  6.86 200 1015.9  14.1  11.8 999.0 99.0
